title,category,type,latitude,longitude
Braunplein fietsenstalling,Slimme Verkeersinformatie,Fietsenstalling,51.053753,3.723883
Korenmarkt fietsenstalling,Slimme Verkeersinformatie,Fietsenstalling,51.053803,3.722105
