title,category,type,latitude,longitude,dataprocessing,datalink,datalinklabel
Braunplein,Slimme Verkeersinformatie,Fietsenstalling bezetting,51.053753,3.723883,Sensoren tellen in real-time het aantal vrije plaatsen in de fietsenstalling. Deze fietsenstalling heeft in totaal 116 plaatsen.,https://data.stad.gent/explore/dataset/real-time-bezettingen-fietsenstallingen-gent/table/,Data over beschikbare plaatsen
Korenmarkt,Slimme Verkeersinformatie,Fietsenstalling bezetting,51.053803,3.722105,Sensoren tellen in real-time het aantal vrije plaatsen in de fietsenstalling. Deze fietsenstalling heeft in totaal 235 plaatsen.,https://data.stad.gent/explore/dataset/real-time-bezettingen-fietsenstallingen-gent/table/,Data over beschikbare plaatsen
